Age ,Depressive disorders (share of population) - Sex: Both - Age: 5-14 years,Depressive disorders (share of population) - Sex: Both - Age: 15-19 years,Depressive disorders (share of population) - Sex: Both - Age: 20-24 years,Depressive disorders (share of population) - Sex: Both - Age: 25-29 years,Depressive disorders (share of population) - Sex: Both - Age: 30-34 years,Depressive disorders (share of population) - Sex: Both - Age: 35-39 years,Depressive disorders (share of population) - Sex: Both - Age: 40-44 years,Depressive disorders (share of population) - Sex: Both - Age: 45-49 years,Depressive disorders (share of population) - Sex: Both - Age: 50-54 years,Depressive disorders (share of population) - Sex: Both - Age: 55-59 years,Depressive disorders (share of population) - Sex: Both - Age: 60-64 years,Depressive disorders (share of population) - Sex: Both - Age: 65-69 years,Depressive disorders (share of population) - Sex: Both - Age: 70+ years,Age group,values
1990,125.046965,662.3228431,959.2646529,1012.32886,1056.833767,1132.490375,1198.794203,1248.907408,1287.706512,1322.332398,1345.17975,1342.57804,1314.244367,Age: 5-14 years,3699.337039
1991,124.8361928,662.0975978,959.9010498,1012.075999,1056.350483,1132.76701,1199.312755,1248.838248,1287.092212,1320.922242,1342.921144,1340.151223,1311.891776,Age: 15-19 years,18994.24733
1992,124.7946439,661.8561007,960.3104711,1011.437141,1055.808648,1133.109507,1199.946333,1248.920807,1286.998466,1319.97439,1341.371737,1337.729915,1309.816158,Age: 20-24 years,28161.55568
1993,124.7529339,661.5024541,960.5199636,1010.693304,1055.131248,1133.268383,1200.824326,1248.648665,1286.826735,1319.551854,1340.565876,1335.587507,1308.20499,Age: 25-29 years,27659.34286
1994,124.6810144,661.1886302,960.4219769,1010.099988,1054.484395,1133.409608,1201.5427,1248.858133,1286.73031,1319.680204,1340.123752,1333.940771,1307.090187, Age: 30-34 years,29968.04847
1995,124.6823633,660.9912447,960.3143897,1009.38253,1053.875182,1133.725219,1202.0723,1249.121489,1286.70028,1320.014558,1339.967902,1332.995387,1306.4335565000001,Age: 35-39 years,33487.66339
1996,124.8604814,660.9882257,959.7780239,1008.123993,1052.927329,1133.876156,1202.987392,1250.185421,1287.998838,1321.73133,1341.774998,1334.120166,1307.158662,Age: 40-44 years,34449.6549
1997,125.3617773,661.5021055,958.5285229,1006.465039,1051.706396,1134.087434,1204.359395,1252.375479,1290.858357,1325.793385,1345.945865,1337.79988,1309.44723,Age: 45-49 years,37149.02508
1998,126.1561789,661.9613706,956.8231942,1004.729482,1050.234918,1134.362388,1205.775405,1255.164842,1293.698945,1330.229297,1351.010757,1342.313281,1312.174125,Age: 50-54 years,37042.52002
1999,127.1235056,662.3282958,954.9566189,1002.88418,1048.677901,1134.259165,1206.738851,1257.157651,1296.341969,1333.548036,1355.330229,1345.835518,1314.372069,Age: 55-59 years,39393.74709
