Entity,Age-standardized suicide rate - Sex: both sexes,Gini coefficient,Continent,Population
Abkhazia,0.0,0.0,,0.0
Afghanistan,136.91,0.0,Asia,8508536429.0
Africa,270.8263,0.0,,289355808264.0
Africa (UN),0.0,0.0,,268854614192.0
Akrotiri and Dhekelia,0.0,0.0,,35110.0
Aland Islands,0.0,0.0,,0.0
Albania,113.81,3.4335474,Europe,467927291.0
Algeria,66.68,1.03140694,Africa,7200256862.0
American Samoa,0.0,0.0,Oceania,5247908.0
Americas,165.18,0.0,,0.0
Andorra,0.0,0.0,Europe,9589142.0
Angola,296.7564,1.4594451400000001,Africa,8225481681.0
Anguilla,0.0,0.0,North America,1794892.0
Antarctica,0.0,0.0,,0.0
Antigua and Barbuda,13.145999999999999,0.0,North America,17803390.0
Argentina,175.7099,0.0,South America,6848700116.0
Argentina - urban,0.0,14.661086150000001,,0.0
Armenia,81.86,7.14469272,Asia,498902309.0
Aruba,0.0,0.0,North America,12117813.0
Asia,0.0,0.0,,760787794046.0
Asia (UN),0.0,0.0,,615424383232.0
Australia,211.669,4.02086264,Oceania,4212293441.0
Austria,249.6466,6.59511607,Europe,2020117440.0
Austria-Hungary,0.0,0.0,,0.0
Azerbaijan,84.81,1.7639226399999999,Asia,1546564440.0
Baden,0.0,0.0,,0.0
Bahamas,64.8,0.0,North America,59152589.0
Bahrain,153.71,0.0,Asia,198792969.0
Bangladesh,96.96,2.46360242,Asia,26658636113.0
Barbados,16.849,0.0,North America,61066005.0
Bavaria,0.0,0.0,,0.0
Belarus,572.2846,6.8974308099999995,Europe,1972123302.0
Belgium,322.543,6.4335637199999995,Europe,2533109955.0
Belize,150.6834,4.03904494,North America,61809464.0
Benin,281.04540000000003,1.67582422,Africa,3007688326.0
Bermuda,0.0,0.0,North America,8178960.0
Bhutan,112.66,1.55239506,Asia,144187908.0
Bolivia,145.63,10.71940993,South America,2103377140.0
Bolivia - urban,0.0,0.9114577500000001,,0.0
Bonaire Sint Eustatius and Saba,0.0,0.0,,3217244.0
Bosnia and Herzegovina,168.35,1.30095713,Europe,701169431.0
Botswana,658.8496,2.93518141,Africa,413111900.0
Bouvet Island,0.0,0.0,Antarctica,0.0
Brazil,105.53,20.34958163,South America,29553236462.0
British Indian Ocean Territory,0.0,0.0,Asia,0.0
British Virgin Islands,0.0,0.0,North America,3842828.0
Brunei,39.17,0.0,Asia,56156066.0
Bulgaria,179.8272,7.11480609,Europe,1517227753.0
Burkina Faso,313.7416,2.63679568,Africa,4657205698.0
Burundi,319.0232,1.4763502,Africa,2816086687.0
Cambodia,125.53999999999999,0.0,Asia,2649050268.0
Cameroon,375.0151,1.76044487,Africa,6020246036.0
Canada,208.4177,5.96310177,North America,6354241795.0
Cape Verde,351.8866,1.42064775,Africa,99776428.0
Cayman Islands,0.0,0.0,North America,8081818.0
Central African Republic,550.4454,1.17567357,Africa,1403090677.0
Chad,302.8771,1.20644937,Africa,4205521552.0
Channel Islands,0.0,0.0,,0.0
Chile,196.9021,7.59263755,South America,2844293966.0
China,199.6053,7.5066216,Asia,230249022545.0
China - rural,0.0,6.7906896,,0.0
China - urban,0.0,6.3751966300000005,,0.0
Christmas Island,0.0,0.0,Asia,0.0
Cocos Islands,0.0,0.0,,0.0
Colombia,85.12,11.845646760000001,South America,7046943485.0
Colombia - urban,0.0,2.1714436,,0.0
Comoros,182.0344,1.01259755,Africa,147037348.0
Congo,320.9305,0.9626920999999999,Africa,1210748941.0
Cook Islands,0.0,0.0,Oceania,2784128.0
Costa Rica,133.45,16.167999860000002,North America,678190185.0
Cote d'Ivoire,391.448,4.42984106,,5855465279.0
Croatia,264.8733,5.22650131,Europe,899740461.0
Cuba,224.5345,0.0,North America,1704691620.0
Curacao,0.0,0.0,,26610618.0
Cyprus,68.249,5.19647623,Asia,206108131.0
Czechia,238.9672,5.17211711,Europe,2827766413.0
Czechoslovakia,0.0,0.0,,1141815000.0
Democratic Republic of Congo,266.4948,0.8426333800000001,,25416763490.0
Denmark,195.9827,5.5762705299999995,Europe,1232066562.0
Djibouti,238.2604,1.70847156,Africa,161419361.0
Dominica,0.0,0.0,North America,14577192.0
Dominican Republic,112.89,12.40565156,North America,1562255082.0
East Germany,0.0,0.0,,102723000.0
East Timor,86.71000000000001,0.92411536,,239096795.0
Eastern Mediterranean,139.91,0.0,,0.0
Ecuador,185.6601,10.39557256,South America,2627216490.0
Ecuador - urban,0.0,1.5111406500000002,,0.0
Egypt,72.32,2.79683359,Africa,18789537783.0
El Salvador,139.49,11.55173759,North America,928499063.0
Equatorial Guinea,299.7155,0.0,Africa,300501314.0
Eritrea,403.2683,0.0,Africa,743255714.0
Estonia,354.0596,7.69139533,Europe,290792671.0
Eswatini,1138.5704,2.19600647,Africa,205698308.0
Ethiopia,263.2359,1.72510886,Africa,25192947698.0
Ethiopia (former),0.0,0.0,,1529528000.0
Ethiopia - rural,0.0,0.32424957,,0.0
Europe,297.9223,0.0,,157035112562.0
Europe (UN),0.0,0.0,,102302746176.0
European Union (27),0.0,0.0,,95984356094.0
Falkland Islands,0.0,0.0,South America,505771.0
Faroe Islands,0.0,0.0,Europe,8100908.0
Fiji,205.8677,1.45881108,Oceania,157939567.0
Finland,331.3799,5.63504377,Europe,1107640483.0
France,265.8829,6.80828097,Europe,14929714642.0
French Guiana,0.0,0.0,South America,58014726.0
French Polynesia,0.0,0.0,Oceania,39594093.0
French Southern Territories,0.0,0.0,,0.0
Gabon,312.2894,0.8020936000000001,Africa,446548451.0
Gambia,216.2378,1.75338354,Africa,505701314.0
Georgia,141.95,9.50509385,Asia,866336443.0
Germany,189.6529,8.45298466,Europe,18634793048.0
Ghana,238.3004,2.78512595,Africa,6023091485.0
Gibraltar,0.0,0.0,Europe,4308057.0
Greece,62.79,6.56899309,Europe,2035502056.0
Greenland,0.0,0.0,North America,7642283.0
Grenada,34.683,0.0,North America,25422131.0
Guadeloupe,0.0,0.0,North America,58255213.0
Guam,0.0,0.0,Oceania,24052091.0
Guatemala,193.7392,2.74881508,North America,2796765537.0
Guernsey,0.0,0.0,Europe,8980933.0
Guinea,234.2001,2.3860583,Africa,2772650274.0
Guinea-Bissau,300.3219,1.6460944400000002,Africa,412240464.0
Guyana,756.0089,0.4511814,South America,150185336.0
Haiti,242.3521,1.00580394,North America,1900569620.0
Hanover,0.0,0.0,,0.0
Heard Island and McDonald Islands,0.0,0.0,Antarctica,0.0
Hesse Electoral,0.0,0.0,,0.0
Hesse Grand Ducal,0.0,0.0,,0.0
High-income,234.1907,0.0,,0.0
High-income countries,0.0,0.0,,224697161944.0
Honduras,61.75,16.17195315,North America,1572194104.0
Honduras - urban,0.0,0.5509303,,0.0
Hong Kong,0.0,0.0,Asia,935409711.0
Hungary,366.3215,7.80310316,Europe,2355229764.0
Iceland,242.3342,4.17118254,Europe,61724586.0
India,310.6207,4.10953468,Asia,230896712405.0
India - rural,0.0,3.69971599,,0.0
India - urban,0.0,4.46353275,,0.0
