Entity,Age-standardized suicide rate - Sex: both sexes,Gini coefficient,Continent
Abkhazia,0.0,0.0,
Afghanistan,136.91,0.0,Asia
Africa,270.8263,0.0,
Africa (UN),0.0,0.0,
Akrotiri and Dhekelia,0.0,0.0,
Aland Islands,0.0,0.0,
Albania,113.81,3.4335474,Europe
Algeria,66.68,1.03140694,Africa
American Samoa,0.0,0.0,Oceania
Americas,165.18,0.0,
Andorra,0.0,0.0,Europe
Angola,296.7564,1.4594451400000001,Africa
Anguilla,0.0,0.0,North America
Antarctica,0.0,0.0,
Antigua and Barbuda,13.145999999999999,0.0,North America
Argentina,175.7099,0.0,South America
Argentina - urban,0.0,14.661086150000001,
Armenia,81.86,7.14469272,Asia
Aruba,0.0,0.0,North America
Asia,0.0,0.0,
Asia (UN),0.0,0.0,
Australia,211.669,4.02086264,Oceania
Austria,249.6466,6.59511607,Europe
Austria-Hungary,0.0,0.0,
Azerbaijan,84.81,1.7639226399999999,Asia
Baden,0.0,0.0,
Bahamas,64.8,0.0,North America
Bahrain,153.71,0.0,Asia
Bangladesh,96.96,2.46360242,Asia
Barbados,16.849,0.0,North America
Bavaria,0.0,0.0,
Belarus,572.2846,6.8974308099999995,Europe
Belgium,322.543,6.4335637199999995,Europe
Belize,150.6834,4.03904494,North America
Benin,281.04540000000003,1.67582422,Africa
Bermuda,0.0,0.0,North America
Bhutan,112.66,1.55239506,Asia
Bolivia,145.63,10.71940993,South America
Bolivia - urban,0.0,0.9114577500000001,
Bonaire Sint Eustatius and Saba,0.0,0.0,
Bosnia and Herzegovina,168.35,1.30095713,Europe
Botswana,658.8496,2.93518141,Africa
Bouvet Island,0.0,0.0,Antarctica
Brazil,105.53,20.34958163,South America
British Indian Ocean Territory,0.0,0.0,Asia
British Virgin Islands,0.0,0.0,North America
Brunei,39.17,0.0,Asia
Bulgaria,179.8272,7.11480609,Europe
Burkina Faso,313.7416,2.63679568,Africa
Burundi,319.0232,1.4763502,Africa
Cambodia,125.53999999999999,0.0,Asia
Cameroon,375.0151,1.76044487,Africa
Canada,208.4177,5.96310177,North America
Cape Verde,351.8866,1.42064775,Africa
Cayman Islands,0.0,0.0,North America
Central African Republic,550.4454,1.17567357,Africa
Chad,302.8771,1.20644937,Africa
Channel Islands,0.0,0.0,
Chile,196.9021,7.59263755,South America
China,199.6053,7.5066216,Asia
China - rural,0.0,6.7906896,
China - urban,0.0,6.3751966300000005,
Christmas Island,0.0,0.0,Asia
Cocos Islands,0.0,0.0,
Colombia,85.12,11.845646760000001,South America
Colombia - urban,0.0,2.1714436,
Comoros,182.0344,1.01259755,Africa
Congo,320.9305,0.9626920999999999,Africa
Cook Islands,0.0,0.0,Oceania
Costa Rica,133.45,16.167999860000002,North America
Cote d'Ivoire,391.448,4.42984106,
Croatia,264.8733,5.22650131,Europe
Cuba,224.5345,0.0,North America
Curacao,0.0,0.0,
Cyprus,68.249,5.19647623,Asia
Czechia,238.9672,5.17211711,Europe
Czechoslovakia,0.0,0.0,
Democratic Republic of Congo,266.4948,0.8426333800000001,
